id,time
19,0.765933
22,0.770934
8,0.791448
23,0.794954
5,0.794592
20,0.800407
6,0.800102
7,0.803490
2,0.805863
1,0.811310
15,0.806105
9,0.806887
18,0.814345
29,0.812919
14,0.832098
28,0.831942
27,0.833760
16,0.831405
12,0.835636
10,0.836084
26,0.838299
21,0.839717
3,0.840485
13,0.841245
4,0.842232
17,0.842731
24,0.843012
11,1.762582
25,1.762252
